elapsed_sec,phase,odom_x_m,odom_y_m,odom_yaw_deg,relative_x_m,relative_y_m,relative_yaw_deg
0.0463,long_1_forward,0.066346,0.394762,1.019283,0.000000,0.000000,0.002046
0.0974,long_1_forward,0.066371,0.394762,0.912367,0.000025,-0.000000,-0.104869
0.1458,long_1_forward,0.067535,0.394781,0.923127,0.001190,-0.000002,-0.094110
0.1969,long_1_forward,0.069863,0.394818,0.910664,0.003518,-0.000006,-0.106572
0.2451,long_1_forward,0.074520,0.394899,1.070048,0.008175,-0.000008,0.052811
0.2991,long_1_forward,0.078291,0.394968,1.032245,0.011947,-0.000006,0.015008
0.3470,long_1_forward,0.083934,0.395075,1.133450,0.017591,0.000000,0.116213
0.3987,long_1_forward,0.088059,0.395155,1.105025,0.021717,0.000008,0.087788
0.4488,long_1_forward,0.093955,0.395271,1.137588,0.027614,0.000018,0.120351
0.4977,long_1_forward,0.098080,0.395354,1.180365,0.031740,0.000029,0.163128
0.5576,long_1_forward,0.104153,0.395481,1.217875,0.037814,0.000048,0.200638
0.5934,long_1_forward,0.108126,0.395564,1.160299,0.041788,0.000060,0.143063
0.6451,long_1_forward,0.114098,0.395689,1.243174,0.047761,0.000079,0.225938
0.6984,long_1_forward,0.118172,0.395777,1.231417,0.051836,0.000095,0.214180
0.7450,long_1_forward,0.124296,0.395908,1.216180,0.057961,0.000117,0.198943
0.7939,long_1_forward,0.128269,0.395992,1.207450,0.061935,0.000130,0.190213
0.8475,long_1_forward,0.134114,0.396113,1.168147,0.067782,0.000148,0.150910
0.9023,long_1_forward,0.138112,0.396194,1.149368,0.071781,0.000158,0.132131
0.9461,long_1_forward,0.144237,0.396312,1.071611,0.077906,0.000168,0.054375
0.9986,long_1_forward,0.148311,0.396387,1.010748,0.081981,0.000169,-0.006489
1.0466,long_1_forward,0.154157,0.396490,1.012639,0.087828,0.000169,-0.004598
1.0962,long_1_forward,0.158029,0.396556,0.959630,0.091700,0.000167,-0.057607
1.1483,long_1_forward,0.162053,0.396625,0.983415,0.095725,0.000163,-0.033821
1.1917,long_1_forward,0.168050,0.396727,0.966149,0.101723,0.000159,-0.051087
1.2472,long_1_forward,0.171897,0.396789,0.896238,0.105571,0.000153,-0.120999
1.2962,long_1_forward,0.177844,0.396885,0.942152,0.111519,0.000143,-0.075085
1.3466,long_1_forward,0.181792,0.396949,0.911344,0.115467,0.000137,-0.105892
1.3947,long_1_forward,0.187739,0.397043,0.907721,0.121415,0.000126,-0.109516
