elapsed_sec,phase,odom_x_m,odom_y_m,odom_yaw_deg,relative_x_m,relative_y_m,relative_yaw_deg
0.0272,long_1_forward,-0.024393,0.046232,8.623308,0.000000,0.000000,0.000000
0.0606,long_1_forward,-0.024393,0.046232,8.623308,0.000000,0.000000,-0.000000
0.1271,long_1_forward,-0.024380,0.046234,8.617013,0.000012,-0.000000,-0.006295
0.1633,long_1_forward,-0.023981,0.046294,8.507507,0.000416,-0.000000,-0.115801
0.2288,long_1_forward,-0.021893,0.046608,8.325181,0.002528,-0.000003,-0.298127
0.2603,long_1_forward,-0.018711,0.047073,8.325181,0.005744,-0.000020,-0.298127
0.3272,long_1_forward,-0.014439,0.047702,8.386147,0.010062,-0.000039,-0.237161
0.3661,long_1_forward,-0.010058,0.048346,8.350023,0.014490,-0.000059,-0.273284
0.4328,long_1_forward,-0.005018,0.049089,8.410083,0.019584,-0.000080,-0.213225
0.4624,long_1_forward,-0.000322,0.049781,8.462784,0.024331,-0.000101,-0.160524
0.5310,long_1_forward,0.004799,0.050544,8.450822,0.029509,-0.000114,-0.172486
0.5604,long_1_forward,0.009637,0.051261,8.463010,0.034398,-0.000130,-0.160298
0.6279,long_1_forward,0.014683,0.052013,8.517606,0.039501,-0.000143,-0.105702
0.6612,long_1_forward,0.019411,0.052721,8.483730,0.044281,-0.000152,-0.139578
0.7275,long_1_forward,0.024524,0.053484,8.531630,0.049451,-0.000164,-0.091678
0.7621,long_1_forward,0.029234,0.054191,8.557001,0.054214,-0.000172,-0.066307
0.8288,long_1_forward,0.034266,0.054947,8.479708,0.059302,-0.000178,-0.143600
0.8605,long_1_forward,0.038967,0.055648,8.478610,0.064056,-0.000191,-0.144698
0.9272,long_1_forward,0.043964,0.056393,8.500927,0.069108,-0.000203,-0.122381
0.9602,long_1_forward,0.048610,0.057087,8.475539,0.073805,-0.000214,-0.147769
1.0272,long_1_forward,0.053630,0.057836,8.485002,0.078881,-0.000226,-0.138306
1.0603,long_1_forward,0.058309,0.058533,8.450397,0.083611,-0.000238,-0.172911
1.1314,long_1_forward,0.063257,0.059269,8.518738,0.088613,-0.000252,-0.104570
1.1637,long_1_forward,0.067849,0.059957,8.421013,0.093257,-0.000261,-0.202295
1.2277,long_1_forward,0.072847,0.060698,8.398674,0.098310,-0.000277,-0.224633
1.2605,long_1_forward,0.077522,0.061387,8.415176,0.103035,-0.000297,-0.208132
1.3291,long_1_forward,0.082488,0.062123,8.444387,0.108055,-0.000314,-0.178921
