condition,trial,elapsed_sec,phase,odom_x_m,odom_y_m,odom_yaw_deg,relative_x_m,relative_y_m,relative_yaw_deg,source_file
baseline,1,0.0385,long_1_forward,0.023964,0.51465,9.699005,5.1e-05,0.0,0.002666,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.0797,long_1_forward,0.023914,0.514642,9.696606,0.0,-0.0,0.000267,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.1338,long_1_forward,0.023989,0.514655,9.667775,7.6e-05,-0.0,-0.028564,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.1813,long_1_forward,0.025236,0.514866,9.5284,0.001341,-2e-06,-0.167938,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.2304,long_1_forward,0.027458,0.51524,9.597909,0.003594,-7e-06,-0.09843,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.3158,long_1_forward,0.032325,0.51606,9.53908,0.00853,-1.8e-05,-0.157258,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.3289,long_1_forward,0.035794,0.516646,9.628845,0.012048,-2.5e-05,-0.067493,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.3801,long_1_forward,0.041658,0.517641,9.622572,0.017996,-3.3e-05,-0.073766,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.4307,long_1_forward,0.045551,0.5183,9.590414,0.021944,-3.9e-05,-0.105924,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.48,long_1_forward,0.051466,0.5193,9.605878,0.027943,-4.9e-05,-0.090461,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.529,long_1_forward,0.055484,0.51998,9.602312,0.032018,-5.6e-05,-0.094027,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.5821,long_1_forward,0.061399,0.520976,9.510644,0.038017,-7e-05,-0.185694,20260917_145436_baseline_trial1_rectangle_trace.csv
baseline,1,0.6315,long_1_forward,0.065443,0.521655,9.55994,0.042117,-8.2e-05,-0.136399,20260917_145436_baseline_trial1_rectangle_trace.csv
