condition,trial,turn,expected_yaw_deg,measured_yaw_deg,yaw_error_deg,yaw_error_abs_deg
baseline,1,1,90.0,85.099373,-4.900627,4.900627
baseline,1,2,180.0,170.008729,-9.991271000000012,9.991271000000012
baseline,1,3,270.0,-102.257272,-12.25727199999999,12.25727199999999
baseline,1,4,360.0,-15.844477,-15.844476999999987,15.844476999999987
baseline,2,1,90.0,84.507948,-5.492052000000002,5.492052000000002
baseline,2,2,180.0,170.671222,-9.328778,9.328778
baseline,2,3,270.0,-102.8338,-12.833800000000014,12.833800000000014
baseline,2,4,360.0,-16.375662,-16.375661999999984,16.375661999999984
baseline,3,1,90.0,84.680375,-5.319625000000002,5.319625000000002
baseline,3,2,180.0,169.948027,-10.051973000000004,10.051973000000004
baseline,3,3,270.0,-103.001236,-13.001235999999995,13.001235999999995
baseline,3,4,360.0,-16.963887,-16.963886999999975,16.963886999999975
ekf,1,1,90.0,83.169157,-6.830843000000002,6.830843000000002
ekf,1,2,180.0,171.173664,-8.826335999999998,8.826335999999998
ekf,1,3,270.0,-99.020564,-9.020563999999975,9.020563999999975
ekf,1,4,360.0,-12.059116,-12.059116000000015,12.059116000000015
ekf,2,1,90.0,86.187543,-3.8124569999999953,3.8124569999999953
ekf,2,2,180.0,174.568195,-5.431804999999997,5.431804999999997
ekf,2,3,270.0,-96.831871,-6.831870999999961,6.831870999999961
ekf,2,4,360.0,-10.150904,-10.150904000000027,10.150904000000027
ekf,3,1,90.0,83.698618,-6.301382000000004,6.301382000000004
ekf,3,2,180.0,171.235665,-8.764334999999988,8.764334999999988
ekf,3,3,270.0,-99.095888,-9.095888000000006,9.095888000000006
ekf,3,4,360.0,-12.722609,-12.722608999999968,12.722608999999968
